id,Name
1,Aplikÿcia pr­pravkov na ochranu rastl­n alebo in?ch pr­pravkov
2,Autorizovan? bezpe?nostn? technik
3,Bezpe?nostnotechnick? slu?by
4,Bezpe?nostn? technik
5,?innos? autorizovanej osoby
6,?innos? bezpe?nostn?ho poradcu
7,?innos? odborn?ho lesn?ho hospodÿra
8,?innos? vodohospodÿra
9,?innos? vykonÿvanÿ bansk?m sp?sobom
10,Energetickÿ certifikÿcia 
11,Horskÿ sprievodcovskÿ ?innos?
12,Horskÿ vodcovskÿ ?innos? vrÿtane vedenia a sprevÿdzania os?b po turistick?ch chodn­koch a trasÿch
13,Inseminÿcia
14,"In?talÿcia, servis, œdr?ba, oprava alebo vyra?ovanie zariaden­ s obsahom flu›rovan?ch sklen­kov?ch plynov"
15,In?truktor auto?koly
16,Kontrola œniku flu›rovan?ch sklen­kov?ch plynov zo zariaden­
17,lÿtok alebo na regenerÿciu kontrolovan?ch lÿtok
18,Mas?rske slu?by
19,"Ni?enie a zne?kod?ovanie v?bu?n­n, v?bu?n?ch predmetov a mun­cie pri v?skume, v?voji, v?robe a spracovan­"
20,Obstarÿvanie œzemnoplÿnovac­ch podkladov a œzemnoplÿnovacej dokumentÿcie
21,O?nÿ optika
22,Odbornÿ pr­prava na z­skanie odbornej sp?sobilosti odpa?ova?a oh?ostrojov
23,Odbornÿ pr­prava na z­skanie odbornej sp?sobilosti predava?a pyrotechnick?ch v?robkov
24,Odbornÿ pr­prava na z­skanie odbornej sp?sobilosti pyrotechnika E
25,Odbornÿ pr­prava na z­skanie odbornej sp?sobilosti strelmajstra
26,Odbornÿ pr­prava na z­skanie odbornej sp?sobilosti technick?ho vedœceho odstrelov
27,Odborn? poradensk? slu?by pre uchÿdza?ov a zÿujemcov o zamestnanie okrem ?innosti ?portov?ho agenta
28,Odborn? poradenstvo v oblasti integrovanej prevencie a kontroly zne?is?ovania ?ivotn?ho prostredia
29,"Odstra?ovanie azbestu alebo materiÿlov obsahujœcich azbest zo stavieb pri bœrac­ch prÿcach, œdr?bÿrskych prÿcach, opravÿch a in?ch ?innostiach"
30,"Oprÿvnen? in?pekcie zhody automatizovan?ch merac­ch syst?mov emisi­, alebo kvality ovzdu?ia"
31,"Oprÿvnen? merania emisi­, v?eobecn?ch podmienok prevÿdzkovania, alebo technick?ch po?iadaviek na stacionÿrnych zdrojoch ovzdu?ia"
32,Oprÿvnen? merania parametrov kvality ovzdu?ia
33,"Oprÿvnen? skœ?ky automatizovan?ch merac­ch syst?mov emisi­, alebo kvality ovzdu?ia"
34,Opravy a montÿ? ur?en?ch meradiel
